cell_id,lat,lon,horizon_hours,forecast_aqi,severity,priority_band,dominant_source,confidence,priority_score,recommended_action,evidence
999,28.707692,77.4,24,139.6,Moderate,MEDIUM,Traffic/Roads,0.442,52.68666666666667,Deploy traffic police,"AQI=139.6, source=Traffic/Roads (52.9%), confidence=44%"
1583,28.9,77.153846,48,86.2,Low,MEDIUM,Industry,0.715,52.68666666666667,Inspect industrial units,"AQI=86.2, source=Industry (70.1%), confidence=72%"
497,28.553846,77.061538,72,116.2,Moderate,MEDIUM,Construction/Dust,0.69,52.68666666666667,Dust suppression,"AQI=116.2, source=Construction/Dust (47.6%), confidence=69%"
947,28.694872,77.215385,72,142.1,Moderate,MEDIUM,Construction/Dust,0.5,52.68333333333333,Dust suppression,"AQI=142.1, source=Construction/Dust (45.0%), confidence=50%"
805,28.65641,76.876923,24,159.8,High,MEDIUM,Traffic/Roads,0.315,52.67333333333334,Deploy traffic police,"AQI=159.8, source=Traffic/Roads (48.7%), confidence=32%"
1245,28.797436,76.876923,24,106.8,Moderate,MEDIUM,Traffic/Roads,0.53,52.660000000000004,Deploy traffic police,"AQI=106.8, source=Traffic/Roads (71.3%), confidence=53%"
257,28.476923,77.061538,24,106.9,Moderate,MEDIUM,Traffic/Roads,0.657,52.656666666666666,Deploy traffic police,"AQI=106.9, source=Traffic/Roads (58.5%), confidence=66%"
1439,28.848718,77.4,24,69.1,Low,MEDIUM,Traffic/Roads,0.557,52.656666666666666,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=56%"
1072,28.733333,77.292308,48,78.9,Low,MEDIUM,Traffic/Roads,0.779,52.65,Deploy traffic police,"AQI=78.9, source=Traffic/Roads (69.6%), confidence=78%"
522,28.566667,76.830769,24,95.6,Low,MEDIUM,Traffic/Roads,0.51,52.63333333333333,Deploy traffic police,"AQI=95.6, source=Traffic/Roads (82.5%), confidence=51%"
923,28.694872,76.846154,48,132.2,Moderate,MEDIUM,Traffic/Roads,0.445,52.633333333333326,Deploy traffic police,"AQI=132.2, source=Traffic/Roads (58.5%), confidence=44%"
842,28.669231,76.830769,72,117.9,Moderate,MEDIUM,Traffic/Roads,0.466,52.63,Deploy traffic police,"AQI=117.9, source=Traffic/Roads (68.3%), confidence=47%"
657,28.605128,77.061538,72,88.0,Low,MEDIUM,Traffic/Roads,0.73,52.626666666666665,Deploy traffic police,"AQI=88.0, source=Traffic/Roads (66.8%), confidence=73%"
1517,28.874359,77.369231,48,66.0,Low,MEDIUM,Traffic/Roads,0.581,52.62,Deploy traffic police,"AQI=66.0, source=Traffic/Roads (100.0%), confidence=58%"
675,28.605128,77.338462,48,135.1,Moderate,MEDIUM,Industry,0.542,52.61666666666667,Inspect industrial units,"AQI=135.1, source=Industry (46.3%), confidence=54%"
972,28.707692,76.984615,24,151.7,High,MEDIUM,Traffic/Roads,0.409,52.60333333333333,Deploy traffic police,"AQI=151.7, source=Traffic/Roads (45.7%), confidence=41%"
471,28.541026,77.276923,72,140.4,Moderate,MEDIUM,Industry,0.513,52.6,Inspect industrial units,"AQI=140.4, source=Industry (44.7%), confidence=51%"
1481,28.874359,76.815385,72,117.4,Moderate,MEDIUM,Traffic/Roads,0.438,52.586666666666666,Deploy traffic police,"AQI=117.4, source=Traffic/Roads (71.3%), confidence=44%"
1422,28.848718,77.138462,72,130.8,Moderate,MEDIUM,Construction/Dust,0.521,52.580000000000005,Dust suppression,"AQI=130.8, source=Construction/Dust (51.8%), confidence=52%"
438,28.528205,77.384615,48,77.5,Low,MEDIUM,Traffic/Roads,0.715,52.57666666666667,Deploy traffic police,"AQI=77.5, source=Traffic/Roads (76.8%), confidence=72%"
1476,28.861538,77.353846,72,70.5,Low,MEDIUM,Traffic/Roads,0.558,52.57,Deploy traffic police,"AQI=70.5, source=Traffic/Roads (98.3%), confidence=56%"
1556,28.887179,77.353846,48,66.0,Low,MEDIUM,Traffic/Roads,0.578,52.56,Deploy traffic police,"AQI=66.0, source=Traffic/Roads (100.0%), confidence=58%"
78,28.412821,77.384615,24,156.9,High,MEDIUM,Traffic/Roads,0.307,52.55,Deploy traffic police,"AQI=156.9, source=Traffic/Roads (51.3%), confidence=31%"
723,28.630769,76.846154,48,93.9,Low,MEDIUM,Traffic/Roads,0.53,52.55,Deploy traffic police,"AQI=93.9, source=Traffic/Roads (81.5%), confidence=53%"
1031,28.720513,77.276923,24,88.1,Low,MEDIUM,Traffic/Roads,0.728,52.54333333333334,Deploy traffic police,"AQI=88.1, source=Traffic/Roads (66.5%), confidence=73%"
918,28.682051,77.384615,72,143.5,Moderate,MEDIUM,Traffic/Roads,0.46,52.53666666666667,Deploy traffic police,"AQI=143.5, source=Traffic/Roads (47.1%), confidence=46%"
162,28.451282,76.830769,48,95.0,Low,MEDIUM,Traffic/Roads,0.624,52.53333333333333,Deploy traffic police,"AQI=95.0, source=Traffic/Roads (71.1%), confidence=62%"
793,28.64359,77.307692,72,144.3,Moderate,MEDIUM,Industry,0.471,52.53,Inspect industrial units,"AQI=144.3, source=Industry (45.3%), confidence=47%"
1475,28.861538,77.338462,24,69.1,Low,MEDIUM,Traffic/Roads,0.65,52.516666666666666,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (90.0%), confidence=65%"
1516,28.874359,77.353846,72,70.5,Low,MEDIUM,Traffic/Roads,0.538,52.510000000000005,Deploy traffic police,"AQI=70.5, source=Traffic/Roads (100.0%), confidence=54%"
1438,28.848718,77.384615,72,70.5,Low,MEDIUM,Traffic/Roads,0.538,52.510000000000005,Deploy traffic police,"AQI=70.5, source=Traffic/Roads (100.0%), confidence=54%"
694,28.617949,77.015385,24,105.4,Moderate,MEDIUM,Traffic/Roads,0.654,52.50666666666667,Deploy traffic police,"AQI=105.4, source=Traffic/Roads (59.3%), confidence=65%"
517,28.553846,77.369231,48,71.4,Low,MEDIUM,Traffic/Roads,0.778,52.5,Deploy traffic police,"AQI=71.4, source=Traffic/Roads (75.2%), confidence=78%"
136,28.438462,77.046154,48,78.4,Low,MEDIUM,Traffic/Roads,0.772,52.486666666666665,Deploy traffic police,"AQI=78.4, source=Traffic/Roads (69.9%), confidence=77%"
72,28.412821,77.292308,72,127.9,Moderate,MEDIUM,Traffic/Roads,0.543,52.476666666666674,Deploy traffic police,"AQI=127.9, source=Traffic/Roads (51.5%), confidence=54%"
931,28.694872,76.969231,24,160.4,High,MEDIUM,Industry,0.354,52.47333333333334,Inspect industrial units,"AQI=160.4, source=Industry (43.3%), confidence=35%"
919,28.682051,77.4,24,120.8,Moderate,MEDIUM,Traffic/Roads,0.54,52.473333333333336,Deploy traffic police,"AQI=120.8, source=Traffic/Roads (57.7%), confidence=54%"
789,28.64359,77.246154,24,83.0,Low,MEDIUM,Traffic/Roads,0.767,52.45333333333333,Deploy traffic police,"AQI=83.0, source=Traffic/Roads (66.4%), confidence=77%"
1031,28.720513,77.276923,48,84.8,Low,MEDIUM,Traffic/Roads,0.754,52.45333333333333,Deploy traffic police,"AQI=84.8, source=Traffic/Roads (66.2%), confidence=75%"
695,28.617949,77.030769,48,87.9,Low,MEDIUM,Traffic/Roads,0.732,52.45,Deploy traffic police,"AQI=87.9, source=Traffic/Roads (65.8%), confidence=73%"
795,28.64359,77.338462,48,91.0,Low,MEDIUM,Traffic/Roads,0.75,52.446666666666665,Deploy traffic police,"AQI=91.0, source=Traffic/Roads (61.4%), confidence=75%"
210,28.464103,76.953846,24,105.0,Moderate,MEDIUM,Construction/Dust,0.634,52.44,Dust suppression,"AQI=105.0, source=Construction/Dust (61.3%), confidence=63%"
